s_id,sex,age_2017,w_id,stimulus,translation_en,translation_ru,stimulus_source,class
3,f,39,86,tsʲelʲevʲizor,TV,телевизор,loan,b
3,f,39,89,"ʔʷen, ʁʷen",horn,рог,native,b
3,f,39,91,ʃĩwũ,milk,молоко,native,r
3,f,39,92,ɬen,water,вода,native,r
3,f,39,93,ritɬ'i,meat,мясо,native,b
3,f,39,95,ʁan,flat cake,лепешка,native,b
3,f,39,96,bank,bank,банк,loan,b
3,f,39,97,bilet,ticket,билет,loan,r
3,f,39,98,raketa,rocket,ракета,loan,b
3,f,39,100,za,fist,кулак,native,b
3,f,39,101,paket,package,пакет,loan,r
3,f,39,102,reɬo,sea,море,native,r
3,f,39,103,qχota,hand palm,ладонь,native,r
3,f,39,104,samolʲot,aeroplane,самолет,loan,b
3,f,39,105,rozʲetka,socket,розетка,loan,b
4,m,59,1,milki,hous,дом,native,b
4,m,59,2,vaɡon,train wagon,вагон,loan,b
4,m,59,3,inɡur,window,окно,native,b
4,m,59,4,ʁats'a,grasshopper,кузнечик,native,b
4,m,59,5,iʃkapi,cabinet,шкаф,loan,b
4,m,59,6,haq'u,room,комната,native,r
4,m,59,7,tʃ'ami,cheese,сыр,native,r
4,m,59,8,batarejka,battery,батарейка,loan,b
4,m,59,9,beʒun,needle,игла,native,b
4,m,59,10,kompjuter,computer,компьютер,loan,b
4,m,59,12,riʒi,face,лицо,native,r
4,m,59,13,ts'a,fire,огонь,native,r
4,m,59,14,priʃepka,clothes-peg,прищепка,loan,b
4,m,59,15,awʔal,nut,орех,native,r
4,m,59,16,kirpitʃ,brick,кирпич,loan,b
4,m,59,17,χur,"field, vegetable garden","поле, огород",native,r
4,m,59,18,tʃ'itʃ'om,pebble,камешек,native,b
4,m,59,21,simkarta,SIM,сим-карта,loan,b
4,m,59,22,kots'i,besom,метла,native,b
4,m,59,23,ala,lid,крышка,native,r
4,m,59,24,zatʃetka,student's record-book,зачетка,loan,r
4,m,59,25,q'en,wall,стена,native,b
4,m,59,27,ts'iq'u,hoar frost,иней,native,b
4,m,59,29,hark'u,eye,глаз,native,b
4,m,59,30,rekun,thread,нитка,native,r
4,m,59,31,kredit,сredit,кредит,loan,b
4,m,59,32,roʃon,rope,веревка,native,r
4,m,59,33,ɡurdo,shirt,рубашка,native,r
4,m,59,34,ɬol,horseshoe,подкова,native,r
4,m,59,35,tatʃka,wheelbarrow,тачка,loan,r
4,m,59,36,pult,remote control,пульт,loan,b
4,m,59,37,telefon,telephon,телефон,loan,r
4,m,59,38,arkom,spoon,ложка,native,b
4,m,59,40,zaʒiɡalka,lighter,зажигалка,loan,b
4,m,59,41,sputnʲik,satellite,спутник,loan,b
4,m,59,42,zar,ice,лед,native,r
4,m,59,43,bil,mountain,гора,native,b
4,m,59,44,provod,wire,провод,loan,r
4,m,59,46,tɬ'ir,bridge,мост,native,b
4,m,59,47,salfʲetka,napkin,салфетка,loan,r
4,m,59,48,awʔara,hat,шапка,native,b
4,m,59,49,aptsʲeka,pharmacy,аптека,loan,b
4,m,59,51,ts'umur,fork,вилка,native,b
4,m,59,52,ħetʃ'ink'a,maize,кукуруза,native,r
4,m,59,53,anzi,snow,снег,native,r
4,m,59,55,bint,bandage,бинт,loan,b
4,m,59,56,hints'u,door,дверь,native,r
4,m,59,57,rok'o,heart,сердце,native,r
4,m,59,59,enʃːur,flour,мука,native,r
4,m,59,60,kolʲaska,perambulator,коляска,loan,r
4,m,59,61,planʲeta,planet,планета,loan,b
4,m,59,62,romaʃka,camomile,ромашка,loan,r
4,m,59,63,tarif,tariff,тариф,loan,b
4,m,59,64,antena,antenna,антенна,loan,r
4,m,59,65,maʃina,car,машина,loan,b
4,m,59,66,inχi,river,река,native,b
4,m,59,67,moʁortʃ'u,tail,хвост,native,b
4,m,59,68,nitʃo,scythe,коса,native,b
4,m,59,69,dʒinsɨ,jeans,джинсы,loan,r
4,m,59,70,ɡol,goal,гол,loan,b
4,m,59,71,kometa,comet,комета,loan,b
4,m,59,72,lift,lift,лифт,loan,b
4,m,59,73,mijar,head,голова,native,r
4,m,59,75,plastɨrʲ,plaster,пластырь,loan,r
4,m,59,76,zarʲadka,charging,зарядка,loan,b
4,m,59,77,banan,banana,банан,loan,b
4,m,59,78,ts'ːa,star,звезда,native,r
4,m,59,79,hunts'ːi,honey,мед,native,r
4,m,59,80,linʲejka,ruler,линейка,loan,r
4,m,59,81,intʃi,apple,яблоко,native,b
4,m,59,82,sol,tooth,зуб,native,r
4,m,59,83,sumka,bag,сумка,loan,b
4,m,59,84,radio,radio,радио,loan,b
4,m,59,85,reʃa,tree,дерево,native,r
4,m,59,86,tsʲelʲevʲizor,TV,телевизор,loan,b
4,m,59,89,"ʔʷen, ʁʷen",horn,рог,native,b
4,m,59,91,ʃĩwũ,milk,молоко,native,r
4,m,59,92,ɬen,water,вода,native,r
4,m,59,93,ritɬ'i,meat,мясо,native,b
4,m,59,95,ʁan,flat cake,лепешка,native,b
4,m,59,96,bank,bank,банк,loan,b
4,m,59,97,bilet,ticket,билет,loan,r
4,m,59,98,raketa,rocket,ракета,loan,b
4,m,59,100,za,fist,кулак,native,b
4,m,59,101,paket,package,пакет,loan,r
4,m,59,102,reɬo,sea,море,native,r
4,m,59,103,qχota,hand palm,ладонь,native,b
4,m,59,104,samolʲot,aeroplane,самолет,loan,b
4,m,59,105,rozʲetka,socket,розетка,loan,b
5,m,48,1,milki,hous,дом,native,b
5,m,48,2,vaɡon,train wagon,вагон,loan,b
5,m,48,3,inɡur,window,окно,native,b
5,m,48,4,ʁats'a,grasshopper,кузнечик,native,b
5,m,48,5,iʃkapi,cabinet,шкаф,loan,b
5,m,48,6,haq'u,room,комната,native,r
5,m,48,7,tʃ'ami,cheese,сыр,native,r
5,m,48,8,batarejka,battery,батарейка,loan,b
5,m,48,9,beʒun,needle,игла,native,b
5,m,48,10,kompjuter,computer,компьютер,loan,b
5,m,48,12,riʒi,face,лицо,native,r
5,m,48,13,ts'a,fire,огонь,native,r
5,m,48,14,priʃepka,clothes-peg,прищепка,loan,b
5,m,48,15,awʔal,nut,орех,native,r
5,m,48,16,kirpitʃ,brick,кирпич,loan,b
5,m,48,17,χur,"field, vegetable garden","поле, огород",native,b
5,m,48,18,tʃ'itʃ'om,pebble,камешек,native,b
5,m,48,21,simkarta,SIM,сим-карта,loan,r
5,m,48,22,kots'i,besom,метла,native,b
5,m,48,23,ala,lid,крышка,native,r
5,m,48,24,zatʃetka,student's record-book,зачетка,loan,r
5,m,48,25,q'en,wall,стена,native,b
5,m,48,27,ts'iq'u,hoar frost,иней,native,b
5,m,48,29,hark'u,eye,глаз,native,b
5,m,48,30,rekun,thread,нитка,native,r
5,m,48,31,kredit,сredit,кредит,loan,b
5,m,48,32,roʃon,rope,веревка,native,r
5,m,48,33,ɡurdo,shirt,рубашка,native,r
5,m,48,34,ɬol,horseshoe,подкова,native,r
5,m,48,35,tatʃka,wheelbarrow,тачка,loan,r
5,m,48,36,pult,remote control,пульт,loan,b
5,m,48,37,telefon,telephon,телефон,loan,r
5,m,48,38,arkom,spoon,ложка,native,b
5,m,48,40,zaʒiɡalka,lighter,зажигалка,loan,b
5,m,48,41,sputnʲik,satellite,спутник,loan,b
5,m,48,42,zar,ice,лед,native,r
5,m,48,43,bil,mountain,гора,native,b
5,m,48,44,provod,wire,провод,loan,r
5,m,48,46,tɬ'ir,bridge,мост,native,b
5,m,48,47,salfʲetka,napkin,салфетка,loan,r
5,m,48,48,awʔara,hat,шапка,native,b
5,m,48,49,aptsʲeka,pharmacy,аптека,loan,b
5,m,48,51,ts'umur,fork,вилка,native,b
5,m,48,52,ħetʃ'ink'a,maize,кукуруза,native,r
5,m,48,53,anzi,snow,снег,native,r
5,m,48,55,bint,bandage,бинт,loan,b
5,m,48,56,hints'u,door,дверь,native,r
5,m,48,57,rok'o,heart,сердце,native,r
5,m,48,59,enʃːur,flour,мука,native,r
5,m,48,60,kolʲaska,perambulator,коляска,loan,r
5,m,48,61,planʲeta,planet,планета,loan,b
5,m,48,62,romaʃka,camomile,ромашка,loan,r
5,m,48,63,tarif,tariff,тариф,loan,b
5,m,48,64,antena,antenna,антенна,loan,r
5,m,48,65,maʃina,car,машина,loan,b
5,m,48,66,inχi,river,река,native,b
5,m,48,67,moʁortʃ'u,tail,хвост,native,b
5,m,48,68,nitʃo,scythe,коса,native,b
5,m,48,69,dʒinsɨ,jeans,джинсы,loan,r
5,m,48,70,ɡol,goal,гол,loan,b
5,m,48,71,kometa,comet,комета,loan,b
5,m,48,72,lift,lift,лифт,loan,b
5,m,48,73,mijar,head,голова,native,r
5,m,48,75,plastɨrʲ,plaster,пластырь,loan,r
5,m,48,76,zarʲadka,charging,зарядка,loan,b
5,m,48,77,banan,banana,банан,loan,b
5,m,48,78,ts'ːa,star,звезда,native,r
5,m,48,79,hunts'ːi,honey,мед,native,r
5,m,48,80,linʲejka,ruler,линейка,loan,r
5,m,48,81,intʃi,apple,яблоко,native,b
5,m,48,82,sol,tooth,зуб,native,r
5,m,48,83,sumka,bag,сумка,loan,b
5,m,48,84,radio,radio,радио,loan,b
5,m,48,85,reʃa,tree,дерево,native,r
5,m,48,86,tsʲelʲevʲizor,TV,телевизор,loan,b
5,m,48,89,"ʔʷen, ʁʷen",horn,рог,native,b
5,m,48,91,ʃĩwũ,milk,молоко,native,r
5,m,48,92,ɬen,water,вода,native,r
5,m,48,93,ritɬ'i,meat,мясо,native,b
5,m,48,95,ʁan,flat cake,лепешка,native,b
5,m,48,96,bank,bank,банк,loan,b
5,m,48,97,bilet,ticket,билет,loan,r
5,m,48,98,raketa,rocket,ракета,loan,b
5,m,48,100,za,fist,кулак,native,b
5,m,48,101,paket,package,пакет,loan,r
5,m,48,102,reɬo,sea,море,native,r
5,m,48,103,qχota,hand palm,ладонь,native,r
5,m,48,104,samolʲot,aeroplane,самолет,loan,b
5,m,48,105,rozʲetka,socket,розетка,loan,b
6,m,13,1,milki,hous,дом,native,b
6,m,13,2,vaɡon,train wagon,вагон,loan,b
6,m,13,3,inɡur,window,окно,native,b
6,m,13,4,ʁats'a,grasshopper,кузнечик,native,b
6,m,13,5,iʃkapi,cabinet,шкаф,loan,b
6,m,13,6,haq'u,room,комната,native,r
6,m,13,7,tʃ'ami,cheese,сыр,native,r
6,m,13,8,batarejka,battery,батарейка,loan,b
6,m,13,9,beʒun,needle,игла,native,b
6,m,13,10,kompjuter,computer,компьютер,loan,b
6,m,13,12,riʒi,face,лицо,native,r
6,m,13,13,ts'a,fire,огонь,native,r
6,m,13,14,priʃepka,clothes-peg,прищепка,loan,b
6,m,13,15,awʔal,nut,орех,native,r
6,m,13,16,kirpitʃ,brick,кирпич,loan,b
6,m,13,17,χur,"field, vegetable garden","поле, огород",native,r
6,m,13,18,tʃ'itʃ'om,pebble,камешек,native,b
6,m,13,21,simkarta,SIM,сим-карта,loan,r
6,m,13,22,kots'i,besom,метла,native,b
6,m,13,23,ala,lid,крышка,native,r
6,m,13,24,zatʃetka,student's record-book,зачетка,loan,r
6,m,13,25,q'en,wall,стена,native,b
6,m,13,27,ts'iq'u,hoar frost,иней,native,b
6,m,13,29,hark'u,eye,глаз,native,b
6,m,13,30,rekun,thread,нитка,native,r
6,m,13,31,kredit,сredit,кредит,loan,b
6,m,13,32,roʃon,rope,веревка,native,r
6,m,13,33,ɡurdo,shirt,рубашка,native,r
6,m,13,34,ɬol,horseshoe,подкова,native,r
6,m,13,35,tatʃka,wheelbarrow,тачка,loan,r
6,m,13,36,pult,remote control,пульт,loan,b
6,m,13,37,telefon,telephon,телефон,loan,r
6,m,13,38,arkom,spoon,ложка,native,b
6,m,13,40,zaʒiɡalka,lighter,зажигалка,loan,b
6,m,13,41,sputnʲik,satellite,спутник,loan,b
6,m,13,42,zar,ice,лед,native,r
6,m,13,43,bil,mountain,гора,native,b
6,m,13,44,provod,wire,провод,loan,r
6,m,13,46,tɬ'ir,bridge,мост,native,b
6,m,13,47,salfʲetka,napkin,салфетка,loan,r
6,m,13,48,awʔara,hat,шапка,native,b
6,m,13,49,aptsʲeka,pharmacy,аптека,loan,b
6,m,13,51,ts'umur,fork,вилка,native,b
6,m,13,52,ħetʃ'ink'a,maize,кукуруза,native,r
6,m,13,53,anzi,snow,снег,native,r
6,m,13,55,bint,bandage,бинт,loan,b
6,m,13,56,hints'u,door,дверь,native,r
6,m,13,57,rok'o,heart,сердце,native,r
6,m,13,59,enʃːur,flour,мука,native,r
6,m,13,60,kolʲaska,perambulator,коляска,loan,r
6,m,13,61,planʲeta,planet,планета,loan,b
6,m,13,62,romaʃka,camomile,ромашка,loan,r
6,m,13,63,tarif,tariff,тариф,loan,b
6,m,13,64,antena,antenna,антенна,loan,b
6,m,13,65,maʃina,car,машина,loan,b
6,m,13,66,inχi,river,река,native,b
6,m,13,67,moʁortʃ'u,tail,хвост,native,b
6,m,13,68,nitʃo,scythe,коса,native,b
6,m,13,69,dʒinsɨ,jeans,джинсы,loan,r
6,m,13,70,ɡol,goal,гол,loan,r
6,m,13,71,kometa,comet,комета,loan,b
6,m,13,72,lift,lift,лифт,loan,r
6,m,13,73,mijar,head,голова,native,r
6,m,13,75,plastɨrʲ,plaster,пластырь,loan,b
6,m,13,76,zarʲadka,charging,зарядка,loan,b
6,m,13,77,banan,banana,банан,loan,b
6,m,13,78,ts'ːa,star,звезда,native,r
6,m,13,79,hunts'ːi,honey,мед,native,r
6,m,13,80,linʲejka,ruler,линейка,loan,r
6,m,13,81,intʃi,apple,яблоко,native,b
6,m,13,82,sol,tooth,зуб,native,r
6,m,13,83,sumka,bag,сумка,loan,b
6,m,13,84,radio,radio,радио,loan,b
6,m,13,85,reʃa,tree,дерево,native,r
6,m,13,86,tsʲelʲevʲizor,TV,телевизор,loan,b
6,m,13,89,"ʔʷen, ʁʷen",horn,рог,native,b
6,m,13,91,ʃĩwũ,milk,молоко,native,r
6,m,13,92,ɬen,water,вода,native,r
6,m,13,93,ritɬ'i,meat,мясо,native,b
6,m,13,95,ʁan,flat cake,лепешка,native,b
6,m,13,96,bank,bank,банк,loan,b
6,m,13,97,bilet,ticket,билет,loan,b
6,m,13,98,raketa,rocket,ракета,loan,r
6,m,13,100,za,fist,кулак,native,b
6,m,13,101,paket,package,пакет,loan,r
6,m,13,102,reɬo,sea,море,native,r
6,m,13,103,qχota,hand palm,ладонь,native,r
6,m,13,104,samolʲot,aeroplane,самолет,loan,b
6,m,13,105,rozʲetka,socket,розетка,loan,b
7,m,19,1,milki,hous,дом,native,b
